state,sdg,value,year,Murders per 1 lakh population
Mahārāshtra,SDG 5,51.21,2019,51.21
Mahārāshtra,SDG 5,22.65,2020,22.65
Mahārāshtra,SDG 5,64.52,2021,64.52
Mahārāshtra,SDG 5,17.44,2022,17.44
Mahārāshtra,SDG 6,69.09,2015,69.09
Mahārāshtra,SDG 6,38.67,2016,38.67
Mahārāshtra,SDG 6,93.67,2017,93.67
Mahārāshtra,SDG 6,13.75,2018,13.75
Mahārāshtra,SDG 6,34.11,2019,34.11
Mahārāshtra,SDG 6,11.35,2020,11.35
Mahārāshtra,SDG 6,92.47,2021,92.47
Mahārāshtra,SDG 6,87.73,2022,87.73
Mahārāshtra,SDG 7,25.79,2015,25.79
Mahārāshtra,SDG 7,66,2016,66
Mahārāshtra,SDG 7,81.72,2017,81.72
Mahārāshtra,SDG 7,55.52,2018,55.52
Mahārāshtra,SDG 7,52.97,2019,52.97
Mahārāshtra,SDG 7,24.19,2020,24.19
Mahārāshtra,SDG 7,9.31,2021,9.31
Mahārāshtra,SDG 7,89.72,2022,89.72
Mahārāshtra,SDG 8,90.04,2015,90.04
Mahārāshtra,SDG 8,63.31,2016,63.31
Mahārāshtra,SDG 8,33.9,2017,33.9
Mahārāshtra,SDG 8,34.92,2018,34.92
Mahārāshtra,SDG 8,72.6,2019,72.6
Mahārāshtra,SDG 8,89.71,2020,89.71
Mahārāshtra,SDG 8,88.71,2021,88.71
Mahārāshtra,SDG 8,77.99,2022,77.99
Mahārāshtra,SDG 9,64.2,2015,64.2
Mahārāshtra,SDG 9,8.41,2016,8.41
Mahārāshtra,SDG 9,16.16,2017,16.16
Mahārāshtra,SDG 9,89.86,2018,89.86
Mahārāshtra,SDG 9,60.64,2019,60.64
Mahārāshtra,SDG 9,0.92,2020,0.92
Mahārāshtra,SDG 9,10.15,2021,10.15
Mahārāshtra,SDG 9,66.35,2022,66.35
Mahārāshtra,SDG 10,0.51,2015,0.51
Mahārāshtra,SDG 10,16.08,2016,16.08
Mahārāshtra,SDG 10,54.87,2017,54.87
Mahārāshtra,SDG 10,69.19,2018,69.19
Mahārāshtra,SDG 10,65.2,2019,65.2
Mahārāshtra,SDG 10,22.43,2020,22.43
Mahārāshtra,SDG 10,71.22,2021,71.22
Mahārāshtra,SDG 10,23.72,2022,23.72
Mahārāshtra,SDG 11,32.54,2015,32.54
Mahārāshtra,SDG 11,74.65,2016,74.65
Mahārāshtra,SDG 11,64.96,2017,64.96
Mahārāshtra,SDG 11,84.92,2018,84.92
Mahārāshtra,SDG 11,65.76,2019,65.76
Mahārāshtra,SDG 11,56.83,2020,56.83
Mahārāshtra,SDG 11,9.37,2021,9.37
Mahārāshtra,SDG 11,36.77,2022,36.77
Mahārāshtra,SDG 12,26.52,2015,26.52
Mahārāshtra,SDG 12,24.4,2016,24.4
Mahārāshtra,SDG 12,97.3,2017,97.3
Mahārāshtra,SDG 12,39.31,2018,39.31
Mahārāshtra,SDG 12,89.2,2019,89.2
Mahārāshtra,SDG 12,63.11,2020,63.11
Mahārāshtra,SDG 12,79.48,2021,79.48
Mahārāshtra,SDG 12,50.26,2022,50.26
Mahārāshtra,SDG 13,57.69,2015,57.69
Mahārāshtra,SDG 13,49.25,2016,49.25
Mahārāshtra,SDG 13,19.52,2017,19.52
Mahārāshtra,SDG 13,72.25,2018,72.25
Mahārāshtra,SDG 13,28.08,2019,28.08
Mahārāshtra,SDG 13,2.43,2020,2.43
Mahārāshtra,SDG 13,64.55,2021,64.55
Mahārāshtra,SDG 13,17.71,2022,17.71
Mahārāshtra,SDG 14,94.05,2015,94.05
Mahārāshtra,SDG 14,95.39,2016,95.39
Mahārāshtra,SDG 14,91.49,2017,91.49
Mahārāshtra,SDG 14,37.02,2018,37.02
Mahārāshtra,SDG 14,1.55,2019,1.55
Mahārāshtra,SDG 14,92.83,2020,92.83
Mahārāshtra,SDG 14,42.82,2021,42.82
Mahārāshtra,SDG 14,96.67,2022,96.67
Mahārāshtra,SDG 15,96.36,2015,96.36
Mahārāshtra,SDG 15,85.3,2016,85.3
Mahārāshtra,SDG 15,29.44,2017,29.44
Mahārāshtra,SDG 15,38.51,2018,38.51
Mahārāshtra,SDG 15,85.11,2019,85.11
Mahārāshtra,SDG 15,31.69,2020,31.69
Mahārāshtra,SDG 15,16.95,2021,16.95
Mahārāshtra,SDG 15,55.68,2022,55.68
Mahārāshtra,SDG 16,93.62,2015,93.62
Mahārāshtra,SDG 16,69.6,2016,69.6
Mahārāshtra,SDG 16,57.01,2017,57.01
Mahārāshtra,SDG 16,9.72,2018,9.72
Mahārāshtra,SDG 16,61.5,2019,61.5
Mahārāshtra,SDG 16,99.01,2020,99.01
Mahārāshtra,SDG 16,14.01,2021,14.01
Mahārāshtra,SDG 16,51.83,2022,51.83
Mahārāshtra,SDG 17,87.74,2015,87.74
Mahārāshtra,SDG 17,74.08,2016,74.08
Mahārāshtra,SDG 17,69.7,2017,69.7
Mahārāshtra,SDG 17,70.25,2018,70.25
Mahārāshtra,SDG 17,35.95,2019,35.95
Mahārāshtra,SDG 17,29.36,2020,29.36
Mahārāshtra,SDG 17,80.94,2021,80.94
Mahārāshtra,SDG 17,81.01,2022,81.01
Nāgāland,SDG 1,86.71,2015,86.71
Nāgāland,SDG 1,91.32,2016,91.32
Nāgāland,SDG 1,51.13,2017,51.13
Nāgāland,SDG 1,50.15,2018,50.15
Nāgāland,SDG 1,79.83,2019,79.83
Nāgāland,SDG 1,65,2020,65
Nāgāland,SDG 1,70.2,2021,70.2
Nāgāland,SDG 1,79.58,2022,79.58
Nāgāland,SDG 2,89,2015,89
Nāgāland,SDG 2,33.8,2016,33.8
Nāgāland,SDG 2,37.56,2017,37.56
Nāgāland,SDG 2,9.4,2018,9.4
Nāgāland,SDG 2,57.83,2019,57.83
Nāgāland,SDG 2,3.59,2020,3.59
Nāgāland,SDG 2,46.56,2021,46.56
Nāgāland,SDG 2,54.26,2022,54.26
Nāgāland,SDG 3,28.65,2015,28.65
Nāgāland,SDG 3,59.08,2016,59.08
Nāgāland,SDG 3,3.05,2017,3.05
Nāgāland,SDG 3,3.73,2018,3.73
Nāgāland,SDG 3,82.26,2019,82.26
Nāgāland,SDG 3,36.02,2020,36.02
Nāgāland,SDG 3,12.71,2021,12.71
Nāgāland,SDG 3,52.22,2022,52.22
Nāgāland,SDG 4,77,2015,77
Nāgāland,SDG 4,21.58,2016,21.58
Nāgāland,SDG 4,62.29,2017,62.29
Nāgāland,SDG 4,8.53,2018,8.53
Nāgāland,SDG 4,5.17,2019,5.17
Nāgāland,SDG 4,53.14,2020,53.14
Nāgāland,SDG 4,54.06,2021,54.06
Nāgāland,SDG 4,63.74,2022,63.74
Nāgāland,SDG 5,72.61,2015,72.61
Nāgāland,SDG 5,97.59,2016,97.59
Nāgāland,SDG 5,51.63,2017,51.63
Nāgāland,SDG 5,32.3,2018,32.3
Nāgāland,SDG 5,79.52,2019,79.52
Nāgāland,SDG 5,27.08,2020,27.08
Nāgāland,SDG 5,43.9,2021,43.9
Nāgāland,SDG 5,7.85,2022,7.85
Nāgāland,SDG 6,2.54,2015,2.54
Nāgāland,SDG 6,96.26,2016,96.26
Nāgāland,SDG 6,83.6,2017,83.6
Nāgāland,SDG 6,69.6,2018,69.6
Nāgāland,SDG 6,40.9,2019,40.9
Nāgāland,SDG 6,17.33,2020,17.33
Nāgāland,SDG 6,15.64,2021,15.64
Nāgāland,SDG 6,25.02,2022,25.02
Nāgāland,SDG 7,54.92,2015,54.92
Nāgāland,SDG 7,71.46,2016,71.46
Nāgāland,SDG 7,66.02,2017,66.02
Nāgāland,SDG 7,27.99,2018,27.99
Nāgāland,SDG 7,95.49,2019,95.49
Nāgāland,SDG 7,73.79,2020,73.79
Nāgāland,SDG 7,55.44,2021,55.44
Nāgāland,SDG 7,61.17,2022,61.17
Nāgāland,SDG 8,41.96,2015,41.96
Nāgāland,SDG 8,24.77,2016,24.77
Nāgāland,SDG 8,35.6,2017,35.6
Nāgāland,SDG 8,75.78,2018,75.78
Nāgāland,SDG 8,1.44,2019,1.44
Nāgāland,SDG 8,11.61,2020,11.61
Nāgāland,SDG 8,4.6,2021,4.6
Nāgāland,SDG 8,4.07,2022,4.07
Nāgāland,SDG 9,85.55,2015,85.55
Nāgāland,SDG 9,70.37,2016,70.37
Nāgāland,SDG 9,47.42,2017,47.42
Nāgāland,SDG 9,9.78,2018,9.78
Nāgāland,SDG 9,49.16,2019,49.16
Nāgāland,SDG 9,47.35,2020,47.35
Nāgāland,SDG 9,17.32,2021,17.32
Nāgāland,SDG 9,43.39,2022,43.39
Nāgāland,SDG 10,39.85,2015,39.85
Nāgāland,SDG 10,61.59,2016,61.59
Nāgāland,SDG 10,63.51,2017,63.51
Nāgāland,SDG 10,4.53,2018,4.53
Nāgāland,SDG 10,37.46,2019,37.46
Nāgāland,SDG 10,62.59,2020,62.59
Nāgāland,SDG 10,50.31,2021,50.31
Nāgāland,SDG 10,85.65,2022,85.65
Nāgāland,SDG 11,65.87,2015,65.87
Nāgāland,SDG 11,16.29,2016,16.29
Nāgāland,SDG 11,7.06,2017,7.06
Nāgāland,SDG 11,64.24,2018,64.24
Nāgāland,SDG 11,2.65,2019,2.65
Nāgāland,SDG 11,58.58,2020,58.58
Nāgāland,SDG 11,94.02,2021,94.02
Nāgāland,SDG 11,57.55,2022,57.55
Nāgāland,SDG 12,38.82,2015,38.82
Nāgāland,SDG 12,64.33,2016,64.33
Nāgāland,SDG 12,45.83,2017,45.83
Nāgāland,SDG 12,54.56,2018,54.56
Nāgāland,SDG 12,94.15,2019,94.15
Nāgāland,SDG 12,38.61,2020,38.61
Nāgāland,SDG 12,96.12,2021,96.12
Nāgāland,SDG 12,90.54,2022,90.54
Nāgāland,SDG 13,19.58,2015,19.58
Nāgāland,SDG 13,6.94,2016,6.94
Nāgāland,SDG 13,10.08,2017,10.08
Nāgāland,SDG 13,1.82,2018,1.82
Nāgāland,SDG 13,9.44,2019,9.44
Nāgāland,SDG 13,68.3,2020,68.3
Nāgāland,SDG 13,7.12,2021,7.12
Nāgāland,SDG 13,31.9,2022,31.9
Nāgāland,SDG 14,84.49,2015,84.49
Nāgāland,SDG 14,2.33,2016,2.33
Nāgāland,SDG 14,81.45,2017,81.45
Nāgāland,SDG 14,28.19,2018,28.19
Nāgāland,SDG 14,11.82,2019,11.82
Nāgāland,SDG 14,69.67,2020,69.67
Nāgāland,SDG 14,62.89,2021,62.89
Nāgāland,SDG 14,87.75,2022,87.75
Nāgāland,SDG 15,73.51,2015,73.51
Nāgāland,SDG 15,80.35,2016,80.35
Nāgāland,SDG 15,28.2,2017,28.2
Nāgāland,SDG 15,17.74,2018,17.74
Nāgāland,SDG 15,75.06,2019,75.06
Nāgāland,SDG 15,80.68,2020,80.68
Nāgāland,SDG 15,99.05,2021,99.05
Nāgāland,SDG 15,41.26,2022,41.26
Nāgāland,SDG 16,37.2,2015,37.2
Nāgāland,SDG 16,77.64,2016,77.64
Nāgāland,SDG 16,34.08,2017,34.08
Nāgāland,SDG 16,93.08,2018,93.08
Nāgāland,SDG 16,85.84,2019,85.84
Nāgāland,SDG 16,42.9,2020,42.9
Nāgāland,SDG 16,75.09,2021,75.09
Nāgāland,SDG 16,75.45,2022,75.45
Nāgāland,SDG 17,10.31,2015,10.31
Nāgāland,SDG 17,90.26,2016,90.26
Nāgāland,SDG 17,50.53,2017,50.53
Nāgāland,SDG 17,82.65,2018,82.65
Nāgāland,SDG 17,32,2019,32
Nāgāland,SDG 17,89.55,2020,89.55
Nāgāland,SDG 17,38.92,2021,38.92
Nāgāland,SDG 17,1.08,2022,1.08
Lakshadweep,SDG 1,90.54,2015,90.54
Lakshadweep,SDG 1,9.13,2016,9.13
Lakshadweep,SDG 1,31.93,2017,31.93
Lakshadweep,SDG 1,95.01,2018,95.01
Lakshadweep,SDG 1,95.06,2019,95.06
Lakshadweep,SDG 1,57.34,2020,57.34
Lakshadweep,SDG 1,63.18,2021,63.18
Lakshadweep,SDG 1,44.84,2022,44.84
Lakshadweep,SDG 2,29.32,2015,29.32
Lakshadweep,SDG 2,32.87,2016,32.87
Lakshadweep,SDG 2,67.25,2017,67.25
Lakshadweep,SDG 2,75.24,2018,75.24
Lakshadweep,SDG 2,79.16,2019,79.16
Lakshadweep,SDG 2,78.96,2020,78.96
Lakshadweep,SDG 2,9.12,2021,9.12
Lakshadweep,SDG 2,49.44,2022,49.44
Lakshadweep,SDG 3,5.76,2015,5.76
Lakshadweep,SDG 3,54.95,2016,54.95
Lakshadweep,SDG 3,44.15,2017,44.15
Lakshadweep,SDG 3,88.77,2018,88.77
Lakshadweep,SDG 3,35.09,2019,35.09
Lakshadweep,SDG 3,11.71,2020,11.71
Lakshadweep,SDG 3,14.3,2021,14.3
Lakshadweep,SDG 3,76.15,2022,76.15
Lakshadweep,SDG 4,61.82,2015,61.82
Lakshadweep,SDG 4,10.11,2016,10.11
Lakshadweep,SDG 4,8.41,2017,8.41
Lakshadweep,SDG 4,70.1,2018,70.1
Lakshadweep,SDG 4,7.28,2019,7.28
Lakshadweep,SDG 4,82.19,2020,82.19
Lakshadweep,SDG 4,70.62,2021,70.62
Lakshadweep,SDG 4,8.13,2022,8.13
Lakshadweep,SDG 5,8.48,2015,8.48
Lakshadweep,SDG 5,98.66,2016,98.66
Lakshadweep,SDG 5,37.43,2017,37.43
Lakshadweep,SDG 5,37.06,2018,37.06
Lakshadweep,SDG 5,81.28,2019,81.28
Lakshadweep,SDG 5,94.72,2020,94.72
Lakshadweep,SDG 5,98.6,2021,98.6
Lakshadweep,SDG 5,75.34,2022,75.34
Lakshadweep,SDG 6,37.63,2015,37.63
Lakshadweep,SDG 6,8.35,2016,8.35
Lakshadweep,SDG 6,77.71,2017,77.71
Lakshadweep,SDG 6,55.84,2018,55.84
Lakshadweep,SDG 6,42.42,2019,42.42
Lakshadweep,SDG 6,90.64,2020,90.64
Lakshadweep,SDG 6,11.12,2021,11.12
Lakshadweep,SDG 6,49.26,2022,49.26
Lakshadweep,SDG 7,1.14,2015,1.14
Lakshadweep,SDG 7,46.87,2016,46.87
Lakshadweep,SDG 7,5.63,2017,5.63
Lakshadweep,SDG 7,11.88,2018,11.88
Lakshadweep,SDG 7,11.75,2019,11.75
Lakshadweep,SDG 7,64.92,2020,64.92
Lakshadweep,SDG 7,74.6,2021,74.6
Lakshadweep,SDG 7,58.34,2022,58.34
Lakshadweep,SDG 8,96.22,2015,96.22
Lakshadweep,SDG 8,37.49,2016,37.49
Lakshadweep,SDG 8,28.57,2017,28.57
Lakshadweep,SDG 8,86.86,2018,86.86
Lakshadweep,SDG 8,22.36,2019,22.36
Lakshadweep,SDG 8,96.32,2020,96.32
Lakshadweep,SDG 8,1.22,2021,1.22
Lakshadweep,SDG 8,96.99,2022,96.99
Lakshadweep,SDG 9,4.32,2015,4.32
Lakshadweep,SDG 9,89.11,2016,89.11
Lakshadweep,SDG 9,52.77,2017,52.77
Lakshadweep,SDG 9,99.3,2018,99.3
Lakshadweep,SDG 9,7.38,2019,7.38
Lakshadweep,SDG 9,55.39,2020,55.39
Lakshadweep,SDG 9,96.93,2021,96.93
Lakshadweep,SDG 9,52.31,2022,52.31
Lakshadweep,SDG 10,62.94,2015,62.94
Lakshadweep,SDG 10,69.57,2016,69.57
Lakshadweep,SDG 10,45.45,2017,45.45
Lakshadweep,SDG 10,62.76,2018,62.76
Lakshadweep,SDG 10,58.43,2019,58.43
Lakshadweep,SDG 10,90.12,2020,90.12
Lakshadweep,SDG 10,4.54,2021,4.54
Lakshadweep,SDG 10,28.1,2022,28.1
Lakshadweep,SDG 11,95.04,2015,95.04
Lakshadweep,SDG 11,89.03,2016,89.03
Lakshadweep,SDG 11,45.57,2017,45.57
Lakshadweep,SDG 11,62.01,2018,62.01
Lakshadweep,SDG 11,27.74,2019,27.74
Lakshadweep,SDG 11,18.81,2020,18.81
Lakshadweep,SDG 11,46.37,2021,46.37
Lakshadweep,SDG 11,35.34,2022,35.34
Lakshadweep,SDG 12,58.37,2015,58.37
Lakshadweep,SDG 12,7.77,2016,7.77
Lakshadweep,SDG 12,97.44,2017,97.44
Lakshadweep,SDG 12,98.62,2018,98.62
Lakshadweep,SDG 12,69.82,2019,69.82
Lakshadweep,SDG 12,53.61,2020,53.61
Lakshadweep,SDG 12,30.95,2021,30.95
Lakshadweep,SDG 12,81.38,2022,81.38
Lakshadweep,SDG 13,68.47,2015,68.47
Lakshadweep,SDG 13,16.26,2016,16.26
Lakshadweep,SDG 13,91.09,2017,91.09
Lakshadweep,SDG 13,82.25,2018,82.25
Lakshadweep,SDG 13,94.98,2019,94.98
Lakshadweep,SDG 13,72.57,2020,72.57
Lakshadweep,SDG 13,61.34,2021,61.34
Lakshadweep,SDG 13,41.82,2022,41.82
Lakshadweep,SDG 14,93.27,2015,93.27
Lakshadweep,SDG 14,86.61,2016,86.61
Lakshadweep,SDG 14,4.52,2017,4.52
Lakshadweep,SDG 14,2.64,2018,2.64
Lakshadweep,SDG 14,37.65,2019,37.65
Lakshadweep,SDG 14,81.06,2020,81.06
Lakshadweep,SDG 14,98.73,2021,98.73
Lakshadweep,SDG 14,15.04,2022,15.04
Lakshadweep,SDG 15,59.41,2015,59.41
Lakshadweep,SDG 15,38.09,2016,38.09
Lakshadweep,SDG 15,96.99,2017,96.99
Lakshadweep,SDG 15,84.21,2018,84.21
Lakshadweep,SDG 15,83.83,2019,83.83
Lakshadweep,SDG 15,46.87,2020,46.87
Lakshadweep,SDG 15,41.48,2021,41.48
Lakshadweep,SDG 15,27.34,2022,27.34
Lakshadweep,SDG 16,5.64,2015,5.64
Lakshadweep,SDG 16,86.47,2016,86.47
Lakshadweep,SDG 16,81.29,2017,81.29
Lakshadweep,SDG 16,99.97,2018,99.97
Lakshadweep,SDG 16,99.66,2019,99.66
Lakshadweep,SDG 16,55.54,2020,55.54
Lakshadweep,SDG 16,76.9,2021,76.9
Lakshadweep,SDG 16,94.48,2022,94.48
Lakshadweep,SDG 17,84.96,2015,84.96
Lakshadweep,SDG 17,24.73,2016,24.73
Lakshadweep,SDG 17,45.05,2017,45.05
Lakshadweep,SDG 17,12.92,2018,12.92
Lakshadweep,SDG 17,95.41,2019,95.41
Lakshadweep,SDG 17,60.62,2020,60.62
Lakshadweep,SDG 17,22.86,2021,22.86
Lakshadweep,SDG 17,67.17,2022,67.17
Uttar Pradesh,SDG 1,61.81,2015,61.81
Uttar Pradesh,SDG 1,35.82,2016,35.82
Uttar Pradesh,SDG 1,11.36,2017,11.36
Uttar Pradesh,SDG 1,67.16,2018,67.16
Uttar Pradesh,SDG 1,52.03,2019,52.03
Uttar Pradesh,SDG 1,77.23,2020,77.23
Uttar Pradesh,SDG 1,52.02,2021,52.02
Uttar Pradesh,SDG 1,85.22,2022,85.22
Uttar Pradesh,SDG 2,55.19,2015,55.19
Uttar Pradesh,SDG 2,56.09,2016,56.09
Uttar Pradesh,SDG 2,87.67,2017,87.67
Uttar Pradesh,SDG 2,40.35,2018,40.35
Uttar Pradesh,SDG 2,13.4,2019,13.4
Uttar Pradesh,SDG 2,2.88,2020,2.88
Uttar Pradesh,SDG 2,75.51,2021,75.51
Uttar Pradesh,SDG 2,62.03,2022,62.03
Uttar Pradesh,SDG 3,70.41,2015,70.41
Uttar Pradesh,SDG 3,21.3,2016,21.3
Uttar Pradesh,SDG 3,13.64,2017,13.64
Uttar Pradesh,SDG 3,1.45,2018,1.45
Uttar Pradesh,SDG 3,35.06,2019,35.06
Uttar Pradesh,SDG 3,58.99,2020,58.99
Uttar Pradesh,SDG 3,39.22,2021,39.22
Uttar Pradesh,SDG 3,43.75,2022,43.75
