STATEs/UTs,year,yearFormatted,Adjusted Net Enrolment Ratio in Elementary (Class 1-8) and Secondary (Class 9-10) education,"Correct responses on Learning Outcomes in Language, Mathematics and EVS for Class 5 students (%)","Correct responses on Learning Outcomes in Language, Mathematics, Science and Social Science for Class 8 students (%)",Children in the age group of 6-13 who are out of school (%),Average annual dropout rate at secondary level (class 9-10),School teachers professionally qualified (%),Percentage of schools with Pupil Teacher ratio less than/equal to 30,"Percentage of students in grade III, V, VIII and  X  achieving  at  least  a  minimum  proficiency  level  in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades",Gross Enrolment Ratio (GER) in higher education (18-23 years),Gender Parity Index (GPI) for higher education (18-23 years),Disabled children (5-19 Years) attending educational institution,"Proportion of trained teacher, by education level (elementary, secondary)",Adjusted Net Enrolment Rate (ANER) in elementary education (class 1-8) (%),Percentage of students in grade VIII achieving atleast a minimum proficiency level in terms of nationally defined learning outcomes to be attained by the pupils at the end of the grade,Gross Enrolment Ratio (GER) in higher education (18-23 years).1,Percentage of persons with disability (15 years and above) who have completed at least secondary education,Percentage of persons 15 years and above who are literate,"Percentage of schools with access to basic infrastructure (electricity, and drinking water-both)",Percentage of trained teachers at secondary level (class 9-10),Pupil Teacher Ratio (PTR) at secondary level (class 9-10),Gross Enrolment Ratio (GER) in higher secondary (class 11-12) (%),Percentage of students in grade VIII achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by the pupils at the end of the grade,Percentage of Schools with computers
Arunachal Pradesh,2020–21,2021,,,,,35.98,,,,38.48,0.99,,,80.98,59.95,29.7,10.3,79.9,50.93593461639863,79.03649635036496,14.0,,,
Arunachal Pradesh,2023–24,2024,,,,,11.7,,,,36.5,0.9,,,100.0,,,10.3,80.6,61.67,91.2,11.0,53.7,74.5,34.0
Assam,2020–21,2021,,,,,31.47,,,,30.94,0.95,,,96.36,79.55,18.7,16.8,84.9,59.51390145347084,29.29460669823652,11.0,,,
Assam,2023–24,2024,,,,,20.3,,,,16.9,1.09,,,100.0,,,16.8,69.3,75.46,63.5,11.0,40.1,72.0,18.9
Assam,2019,2019,80.65,,,2.884135473022305,27.6,,75.33,76.7375,18.7,0.95,51.14,18.52,,,,,,,,,,,
Assam,2018,2018,80.65,61.67,51.0,2.88,27.06,40.14,75.33,,,,,,,,,,,,,,,,
Bihar,2018,2018,77.04,55.67,47.75,4.95,25.9,53.97,21.75,,,,,,,,,,,,,,,,
Bihar,2019,2019,77.04,,,4.947836981037836,39.73,,21.75,72.525,13.6,0.79,58.46,24.525,,,,,,,,,,,
Bihar,2023–24,2024,,,,,20.5,,,,17.1,0.92,,,97.0,,,18.5,67.3,88.64,89.4,55.0,35.9,71.5,18.9
Bihar,2020–21,2021,,,,,28.46,,,,26.39,0.79,,,86.54,78.30000000000001,13.6,18.5,64.7,88.6640156350614,78.44219452465367,58.0,,,
Chandigarh,2023–24,2024,,,,,0.0,,,,64.8,1.33,,,84.6,,,37.4,91.7,100.0,99.1,12.0,81.7,90.5,100.0
Chandigarh,2019,2019,78.735,,,0.4390257655763523,0.0,,82.0,79.1875,50.6,1.54,63.21,99.42,,,,,,,,,,,
Chandigarh,2020–21,2021,,,,,4.52,,,,83.43,1.54,,,85.78,81.55,50.6,37.4,89.1,100.0,89.49313621964097,12.0,,,
Chandigarh,2018,2018,78.73,67.0,53.0,0.44,,98.88,82.0,,,,,,,,,,,,,,,,
Chhattisgarh,2023–24,2024,,,,,9.7,,,,19.6,1.23,,,90.7,,,17.2,74.8,95.77,89.5,15.0,68.1,69.5,89.4
Chhattisgarh,2019,2019,77.04,,,3.746180318561656,24.23,,82.89,69.2375,18.6,1.06,59.62,55.24,,,,,,,,,,,
Chhattisgarh,2018,2018,77.04,51.67,45.25,3.75,21.26,73.47,82.89,,,,,,,,,,,,,,,,
Chhattisgarh,2020–21,2021,,,,,18.29,,,,52.08,1.06,,,89.25,68.9,18.6,17.2,74.1,90.03802821907098,78.02984528060057,18.0,,,
Dadra and Nagar Haveli,2019,2019,76.79,,,1.489582916783301,27.96,,88.16,74.45,9.3,1.7,59.85,47.96,,,,,,,,,,,
Dadra and Nagar Haveli,2018,2018,76.79,62.0,52.0,1.49,16.77,92.84,88.16,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,2020–21,2021,,,,,20.52,,,,53.46,1.7,,,88.75,79.2,9.3,12.2,77.7,100.0,89.34426229508196,28.0,,,
Dadra and Nagar Haveli and Daman and Diu,2023–24,2024,,,,,9.5,,,,11.2,1.93,,,87.3,,,24.8,85.6,100.0,96.4,20.0,54.9,79.75,89.1
Daman and Diu,2019,2019,67.05,,,1.283145382505334,19.52,,79.17,66.26249999999999,5.5,2.34,44.55,15.88,,,,,,,,,,,
Daman and Diu,2018,2018,67.05,46.67,38.5,1.28,32.27,92.47,79.17,,,,,,,,,,,,,,,,
Daman and Diu,2020–21,2021,,,,,21.66,,,,33.21,2.34,,,79.13,65.5,5.5,37.4,88.3,100.0,83.8407494145199,15.0,,,
Delhi,2019,2019,92.945,,,3.146774522828207,10.75,,46.43,68.48750000000001,46.3,1.16,58.12,70.295,,,,,,,,,,,
Delhi,2020–21,2021,,,,,14.93,,,,70.07,1.16,,,100.0,67.35,46.3,41.0,86.4,100.0,89.32937546381284,29.0,,,
Delhi,2018,2018,92.94,48.33,39.25,3.15,11.81,100.0,46.43,,,,,,,,,,,,,,,,
Delhi,2023–24,2024,,,,,4.8,,,,49.0,1.03,,,100.0,,,41.0,86.2,100.0,97.7,28.0,94.9,80.0,100.0
Goa,2018,2018,90.45,49.0,42.25,,11.15,97.2,90.29,,,,,,,,,,,,,,,,
Goa,2023–24,2024,,,,,9.0,,,,35.8,0.99,,,86.9,,,32.4,94.4,100.0,98.0,9.0,73.7,78.0,55.3
Goa,2019,2019,90.455,,,0.0,16.01,,90.29,70.8125,30.1,1.33,73.35,49.66,,,,,,,,,,,
Goa,2020–21,2021,,,,,9.4,,,,71.95,1.33,,,88.26,71.65,30.1,32.4,88.9,99.96635262449529,85.69935187121054,11.0,,,
Gujarat,2020–21,2021,,,,,23.84,,,,41.2,0.85,,,85.38,81.05,20.4,22.8,80.7,99.95236437588171,91.79558965222608,33.0,,,
Gujarat,2018,2018,74.97,58.0,54.25,1.94,25.04,99.95,70.47,,,,,,,,,,,,,,,,
Gujarat,2023–24,2024,,,,,17.9,,,,24.0,0.9,,,89.0,,,22.8,82.8,99.93,97.1,29.0,48.2,81.0,98.0
Gujarat,2019,2019,74.97,,,1.93506571119143,24.08,,70.47,74.775,20.4,0.85,62.62,50.57,,,,,,,,,,,
Haryana,2020–21,2021,,,,,14.79,,,,56.05,1.23,,,89.31,71.6,29.2,25.1,77.3,98.81660576187645,89.09837023190606,15.0,,,
Haryana,2023–24,2024,,,,,5.9,,,,33.3,1.22,,,97.7,,,25.1,80.6,99.04,95.7,12.0,75.5,87.0,93.2
Haryana,2018,2018,74.91,51.0,44.5,1.05,15.89,95.33,75.02,,,,,,,,,,,,,,,,
Haryana,2019,2019,74.905,,,1.051910118608685,12.16,,75.02,68.875,29.2,1.23,64.1,95.73,,,,,,,,,,,
Himachal Pradesh,2019,2019,92.87,,,0.2081623360099795,7.03,,96.19,71.8875,39.6,1.3,67.74,92.285,,,,,,,,,,,
Himachal Pradesh,2018,2018,92.87,55.33,45.0,0.21,6.07,95.75,96.19,,,,,,,,,,,,,,,,
Himachal Pradesh,2020–21,2021,,,,,7.81,,,,81.79,1.3,,,97.82,72.75,39.6,25.6,84.2,97.5949923127608,79.55168465248622,9.0,,,
Himachal Pradesh,2023–24,2024,,,,,1.5,,,,43.1,1.33,,,100.0,,,25.6,86.5,98.64,97.1,6.0,94.1,79.5,40.5
India,2023–24,2024,,,,,12.6,,,,28.4,1.01,,,96.5,,,19.3,76.7,88.65,92.2,18.0,57.6,77.23,47.5
India,2019,2019,75.825,,,2.971390073052767,19.89,,70.43,71.03,26.3,1.0,61.18,78.83500000000001,,,,,,,,,,,
India,2020–21,2021,,,,,17.87,,,,50.14,1.0,,,87.26,71.875,26.3,19.3,74.6,84.76441381517233,82.62273457338273,21.0,,,
India,2018,2018,75.83,54.69,44.58,2.97,17.06,81.15,70.43,,,,,,,,,,,,,,,,
Jammu and Kashmir,2019,2019,57.215,,,2.041464153823704,24.35,,96.07,64.57499999999999,30.9,1.09,60.97,50.0,,,,,,,,,,,
Jammu and Kashmir,2020–21,2021,,,,,17.81,,,,42.31,1.09,,,67.88,59.75,30.9,19.7,76.4,80.13666352497643,80.09377817853922,12.0,,,
Jammu and Kashmir,2023–24,2024,,,,,6.0,,,,24.8,1.2,,,84.3,,,19.7,74.4,75.69,89.7,13.0,53.2,80.5,33.4
Jammu and Kashmir,2018,2018,57.22,54.33,38.0,2.04,17.28,56.39,96.07,,,,,,,,,,,,,,,,
Jharkhand,2019,2019,67.985,,,2.018727853271983,36.64,,50.01,75.425,19.1,0.96,59.74,47.61,,,,,,,,,,,
Jharkhand,2018,2018,67.98,60.33,54.75,2.02,24.0,71.04,50.01,,,,,,,,,,,,,,,,
Jharkhand,2023–24,2024,,,,,9.3,,,,18.6,1.01,,,94.4,,,16.9,74.6,94.03,94.9,35.0,46.4,74.0,85.2
Jharkhand,2020–21,2021,,,,,22.26,,,,38.89,0.96,,,89.15,84.0,19.1,16.9,67.3,84.74666724753857,80.12104283054003,51.0,,,
Karnataka,2023–24,2024,,,,,14.7,,,,36.2,1.01,,,100.0,,,20.9,77.8,98.86,82.9,18.0,56.6,76.0,56.4
Karnataka,2018,2018,85.53,68.67,54.5,1.49,26.18,95.85,76.05,,,,,,,,,,,,,,,,
Karnataka,2020–21,2021,,,,,23.43,,,,44.4,1.04,,,100.0,83.5,28.8,20.9,75.7,93.79801362596348,92.13478515319116,15.0,,,
Karnataka,2019,2019,85.535,,,1.489183276142245,26.18,,76.05,79.60000000000001,28.8,1.04,62.81,99.655,,,,,,,,,,,
Kerala,2023–24,2024,,,,,5.5,,,,41.3,1.44,,,100.0,,,24.3,94.8,99.51,96.6,15.0,85.0,77.0,98.3
Kerala,2018,2018,91.75,65.67,50.25,0.82,12.32,97.78,91.41,,,,,,,,,,,,,,,,
Kerala,2020–21,2021,,,,,9.14,,,,80.26,1.4,,,92.07,86.75,37.0,24.3,94.6,99.242560325729,94.52644335342738,16.0,,,
Kerala,2019,2019,91.755,,,0.8195037999759297,12.77,,91.41,79.83749999999999,37.0,1.4,73.16,43.785,,,,,,,,,,,
Ladakh,2020–21,2021,,,,,17.81,,,,42.31,1.09,,,67.88,59.75,30.9,19.7,76.4,80.13666352497643,80.09377817853922,12.0,,,
Ladakh,2023–24,2024,,,,,4.9,,,,11.5,2.19,,,67.8,,,19.7,75.6,93.25,90.0,6.0,49.4,85.0,46.2
Lakshadweep,2018,2018,81.94,47.33,36.0,3.67,6.76,96.51,100.0,,,,,,,,,,,,,,,,
Lakshadweep,2023–24,2024,,,,,0.0,,,,1.1,6.33,,,71.2,,,18.0,97.8,100.0,98.8,7.0,62.4,82.5,100.0
Lakshadweep,2020–21,2021,,,,,4.56,,,,73.5,3.4,,,75.27,65.25,7.4,18.0,95.7,100.0,86.20689655172413,7.0,,,
Lakshadweep,2019,2019,81.94,,,3.622303622303622,5.8,,100.0,62.175,7.4,3.4,69.53,83.28999999999999,,,,,,,,,,,
Madhya Pradesh,2019,2019,69.74,,,3.77651188354443,23.76,,71.03,69.9375,21.5,0.97,63.99,95.115,,,,,,,,,,,
Madhya Pradesh,2023–24,2024,,,,,10.1,,,,28.9,0.94,,,81.5,,,17.2,72.6,76.26,89.9,23.0,51.3,81.0,26.0
Madhya Pradesh,2018,2018,69.74,53.33,45.5,3.78,24.77,77.25,71.03,,,,,,,,,,,,,,,,
Madhya Pradesh,2020–21,2021,,,,,24.85,,,,43.73,0.97,,,81.19,70.5,21.5,17.2,70.5,75.34191864089775,81.19037186753543,36.0,,,
Maharashtra,2019,2019,80.91499999999999,,,0.8126336614507306,11.28,,75.32,73.1125,32.0,0.9,70.3,71.325,,,,,,,,,,,
Maharashtra,2020–21,2021,,,,,13.29,,,,68.93,0.9,,,90.92,76.3,32.0,25.7,80.3,92.73935347728803,93.8247147255932,22.0,,,
Maharashtra,2023–24,2024,,,,,10.7,,,,35.3,0.9,,,100.0,,,25.7,85.1,94.61,98.0,21.0,71.5,78.5,81.4
Maharashtra,2018,2018,80.92,56.33,46.25,0.81,12.87,99.02,75.32,,,,,,,,,,,,,,,,
Manipur,2019,2019,88.205,,,1.721459656882292,21.05,,93.15,70.9125,33.7,1.01,69.41,81.43,,,,,,,,,,,
Manipur,2020–21,2021,,,,,13.03,,,,54.82,1.01,,,100.0,72.30000000000001,33.7,28.9,85.6,68.92031379025599,55.501800180018,10.0,,,
Manipur,2018,2018,88.2,58.67,44.75,1.72,14.38,43.27,93.15,,,,,,,,,,,,,,,,
Manipur,2023–24,2024,,,,,1.3,,,,35.4,1.01,,,100.0,,,28.9,88.6,66.04,77.4,9.0,69.9,81.0,37.0
Meghalaya,2020–21,2021,,,,,19.47,,,,41.64,1.17,,,97.43,64.5,25.8,12.3,91.4,28.38980162246915,43.62735181064131,12.0,,,
Meghalaya,2018,2018,68.39,45.33,39.25,2.9,20.52,30.47,86.87,,,,,,,,,,,,,,,,
Meghalaya,2019,2019,68.39,,,2.902047275910836,28.07,,86.87,59.08750000000001,25.8,1.17,56.47,98.255,,,,,,,,,,,
Meghalaya,2023–24,2024,,,,,21.7,,,,25.4,1.24,,,100.0,,,12.3,94.3,20.53,62.0,12.0,46.0,60.0,18.3
Mizoram,2019,2019,79.6,,,0.6007899274972649,30.67,,94.23,71.7125,25.7,0.94,57.22,97.92,,,,,,,,,,,
Mizoram,2018,2018,79.6,48.67,36.75,0.6,21.88,60.4,94.23,,,,,,,,,,,,,,,,
Mizoram,2020–21,2021,,,,,10.64,,,,51.87,0.94,,,90.08,68.25,25.7,17.4,98.5,83.75926399182214,61.32508023842275,10.0,,,
Mizoram,2023–24,2024,,,,,11.9,,,,32.3,1.06,,,100.0,,,17.4,99.3,81.54,80.8,9.0,61.3,70.0,53.5
Nagaland,2018,2018,56.24,49.67,37.75,0.9,18.23,32.92,95.91,,,,,,,,,,,,,,,,
Nagaland,2023–24,2024,,,,,17.5,,,,18.8,1.28,,,80.3,,,11.9,94.4,55.85,67.7,10.0,35.8,76.0,57.4
Nagaland,2019,2019,56.24,,,0.9049434410349354,31.28,,95.91,61.275,18.7,1.11,50.82,50.0,,,,,,,,,,,
Nagaland,2020–21,2021,,,,,24.08,,,,33.92,1.11,,,67.38,60.95,18.7,11.9,93.8,63.26308139534883,36.02674307545367,11.0,,,
Odisha,2018,2018,82.24,54.0,45.5,6.1,29.56,81.07,80.7,,,,,,,,,,,,,,,,
Odisha,2019,2019,82.24000000000001,,,6.101223981121215,28.87,,80.7,70.925,22.1,0.82,58.35,68.95,,,,,,,,,,,
Odisha,2023–24,2024,,,,,27.3,,,,22.1,0.88,,,93.0,,,13.8,75.6,83.57,95.6,18.0,43.6,77.5,26.4
Odisha,2020–21,2021,,,,,9.52,,,,65.86,0.82,,,71.57,71.85,22.1,13.8,72.5,68.71079936551362,75.81538051090509,22.0,,,
Puducherry,2019,2019,79.52000000000001,,,0.1827122186392107,12.65,,95.17,68.7,46.4,1.24,66.29,11.935,,,,,,,,,,,
Puducherry,2023–24,2024,,,,,6.3,,,,61.5,1.02,,,76.9,,,28.6,89.8,100.0,98.8,10.0,68.7,80.0,99.6
Puducherry,2020–21,2021,,,,,12.73,,,,69.78,1.24,,,84.15,61.3,46.4,28.6,89.5,99.93234100135318,92.5705794947994,11.0,,,
Puducherry,2018,2018,79.52,51.33,34.25,0.18,12.19,99.88,95.17,,,,,,,,,,,,,,,,
Punjab,2019,2019,78.56,,,2.280342312802666,8.6,,86.01,63.93749999999999,29.5,1.35,60.22,99.135,,,,,,,,,,,
Punjab,2023–24,2024,,,,,17.2,,,,27.4,1.19,,,99.2,,,23.4,81.4,99.98,97.7,11.0,82.1,91.5,99.6
Punjab,2020–21,2021,,,,,11.52,,,,68.14,1.35,,,71.5,61.55,29.5,23.4,79.4,99.93365226804484,86.84792742148692,13.0,,,
Punjab,2018,2018,78.56,48.0,39.25,2.28,8.86,91.38,86.01,,,,,,,,,,,,,,,,
Rajasthan,2020–21,2021,,,,,12.69,,,,56.51,1.0,,,83.29,88.1,23.0,14.9,67.1,83.23334027291482,92.22949481173764,12.0,,,
Rajasthan,2023–24,2024,,,,,7.7,,,,28.6,0.97,,,93.7,,,14.9,68.3,86.78,97.4,11.0,70.4,85.0,52.0
Rajasthan,2018,2018,72.48,68.0,62.25,5.02,13.48,94.01,74.35,,,,,,,,,,,,,,,,
Rajasthan,2019,2019,72.485,,,5.021254251100506,15.19,,74.35,81.25,23.0,1.0,56.04,31.63,,,,,,,,,,,
Sikkim,2018,2018,45.47,45.67,39.25,0.58,15.89,48.4,99.03,,,,,,,,,,,,,,,,
Sikkim,2023–24,2024,,,,,11.9,,,,38.6,1.21,,,85.2,,,20.4,85.4,99.13,83.2,9.0,64.2,75.0,89.9
Sikkim,2019,2019,45.465,,,0.5783283607904182,24.15,,99.03,65.375,53.9,1.0,66.52,26.945,,,,,,,,,,,
Sikkim,2020–21,2021,,,,,23.67,,,,58.22,1.0,,,72.91,64.4,53.9,20.4,86.2,99.14728682170542,63.92318244170097,13.0,,,
Tamil Nadu,2018,2018,92.86,53.0,40.25,0.66,8.1,97.58,82.89,,,,,,,,,,,,,,,,
Tamil Nadu,2023–24,2024,,,,,4.5,,,,47.0,1.01,,,99.5,,,19.1,83.9,100.0,99.9,13.0,81.5,67.0,78.4
Tamil Nadu,2019,2019,92.86,,,0.6623252314033964,10.03,,82.89,71.4375,49.0,0.97,62.93,32.655,,,,,,,,,,,
Tamil Nadu,2020–21,2021,,,,,13.02,,,,72.32,0.97,,,85.49,71.3,49.0,19.1,80.7,96.08381796050853,93.3068211290741,18.0,,,
Target,2018,2018,100.0,67.89,57.17,0.28,10.0,100.0,100.0,,,,,,,,,,,,,,,,
Target,2023–24,2024,,,,,7.67,,,,50.0,1.0,,,100.0,,,100.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0
Target,2019,2019,100.0,,,0.0,10.0,,100.0,100.0,50.0,1.0,100.0,100.0,,,,,,,,,,,
Target,2020–21,2021,,,,,8.8,,,,100.0,1.0,,,100.0,100.0,50.0,100.0,100.0,100.0,100.0,30.0,,,
Telangana,2023–24,2024,,,,,13.7,,,,40.0,1.08,,,100.0,,,20.8,75.7,90.81,97.8,10.0,64.8,69.5,42.9
Telangana,2018,2018,82.53,55.67,42.0,,15.53,97.64,77.81,,,,,,,,,,,,,,,,
Telangana,2020–21,2021,,,,,13.47,,,,56.49,1.02,,,93.69,69.8,36.2,20.8,67.4,91.51694014874278,90.956620458891,11.0,,,
Telangana,2019,2019,82.535,,,,22.49,,77.81,72.2375,36.2,1.02,,46.95,,,,,,,,,,,
Tripura,2023–24,2024,,,,,8.3,,,,20.7,0.89,,,100.0,,,13.4,92.2,53.48,86.1,14.0,56.3,77.0,32.6
Tripura,2018,2018,94.72,55.0,42.75,0.79,28.42,40.12,95.08,,,,,,,,,,,,,,,,
Tripura,2019,2019,94.715,,,0.7882079347661108,29.76,,95.08,68.9,19.2,0.83,62.11,82.185,,,,,,,,,,,
Tripura,2020–21,2021,,,,,29.55,,,,38.62,0.83,,,100.0,71.3,19.2,13.4,89.9,57.11830131445905,45.79598804950918,18.0,,,
Uttar Pradesh,2019,2019,68.705,,,3.901116247909569,12.71,,55.96,54.93749999999999,25.8,1.14,59.19,50.0,,,,,,,,,,,
Uttar Pradesh,2018,2018,68.7,50.67,44.25,3.9,10.22,77.51,55.96,,,,,,,,,,,,,,,,
Uttar Pradesh,2020–21,2021,,,,,15.51,,,,46.12,1.14,,,84.54,67.35,25.8,17.8,68.2,81.48352151078743,73.85739903958837,34.0,,,
Uttar Pradesh,2023–24,2024,,,,,9.7,,,,24.1,1.02,,,94.0,,,17.8,72.0,89.43,88.4,27.0,50.7,68.0,27.0
Uttarakhand,2019,2019,77.195,,,5.066780463058691,9.09,,87.94,75.55000000000001,39.1,1.0,61.91,87.475,,,,,,,,,,,
Uttarakhand,2018,2018,77.19,61.33,48.5,5.07,10.4,87.11,87.94,,,,,,,,,,,,,,,,
Uttarakhand,2020–21,2021,,,,,10.95,,,,66.2,1.0,,,96.38,74.95,39.1,24.7,79.0,87.72019185873765,89.78249495477988,15.0,,,
Uttarakhand,2023–24,2024,,,,,5.0,,,,41.8,1.09,,,100.0,,,24.7,83.5,84.06,96.9,11.0,78.8,77.5,58.3
West Bengal,2023–24,2024,,,,,18.0,,,,26.3,1.03,,,100.0,,,16.6,80.6,97.06,97.2,17.0,62.0,77.5,18.4
West Bengal,2020–21,2021,,,,,19.49,,,,51.73,0.94,,,93.21,70.55,19.3,16.6,79.0,92.61714437584332,81.14053709797261,36.0,,,
West Bengal,2019,2019,72.275,,,2.450901628708549,26.93,,74.64,60.725,19.3,0.94,57.15,91.12,,,,,,,,,,,
West Bengal,2018,2018,72.28,52.67,43.25,2.45,17.8,52.53,74.64,,,,,,,,,,,,,,,,
