STATEs/UTs,year,yearFormatted,Murders per 1 lakh population,Cognizable crimes against children per 1 lakh population,Estimated number of courts per 10 Lakh persons,Estimated reported corruption crimes per 1 crore population,Percentage of births registered,Percentage of population covered under Aadhaar,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","Cases Reported under Prevention of Corruption Act & Related Sections of IPC per 100,000 population",Number of victims of human trafficking per 10 lakh population,"Number of missing children per 1,00,000 child population","No. of courts per 1,00,000 population",Cases  under Prevention of Corruption Act and related sections of IPC per 10 lakh population,Cases under Prevention of Corruption Act and related sections of IPC per 10 lakh population,Charge sheeting rate of IPC crime,Percentage of children under 5 years whose birth was registered
Bihar,2018,2018,2.5,8.8,12.1,14.63,64.8,84.09,,,,,,,,,,
Bihar,2019,2019,2.658131816026553,12.0,12.0997785106387,,60.73587281599244,83.10941605862163,48.07965860597439,0.4276908487434803,0.121384542437174,,,,,,,
Bihar,2023–24,2024,2.3,17.1,,,,88.26,,,,5.982538317,12.63157895,1.618593881,,0.8603384,75.4,75.6
Bihar,2020–21,2021,2.6,20.8,,,,,,,,2.630921655149447,16.29968736042876,1.581883273665806,0.5911248022645909,,,
Chandigarh,2023–24,2024,1.5,69.1,,,,95.44,,,,0.817661488,52.5,2.423263328,,1.635322976,54.4,97.6
Chandigarh,2019,2019,1.322751322751323,68.8,33.60052312743188,,126.3241990892386,98.67061013812946,25.3968253968254,0.0,0.1058201058201058,,,,,,,
Chandigarh,2020–21,2021,2.2,66.0,,,,,,,,0.0,50.5,2.542372881355932,4.23728813559322,,,
Chandigarh,2018,2018,1.4,55.5,33.6,342.39,100.0,100.0,,,,,,,,,,
Chhattisgarh,2023–24,2024,3.4,63.4,,,,95.31,,,,1.368902541,35.22051282,2.086899276,,0.434042269,80.4,96.6
Chhattisgarh,2019,2019,3.495625713198935,64.9,12.08837973631588,,128.9188997613607,92.80577723418408,32.33548877900343,0.4336249524534044,0.102700646633701,,,,,,,
Chhattisgarh,2018,2018,3.7,47.2,12.09,452.2,100.0,94.1,,,,,,,,,,
Chhattisgarh,2020–21,2021,3.2,56.4,,,,,,,,11.7157712305026,31.27363184079602,1.69844020797227,0.658578856152513,,,
Dadra and Nagar Haveli,2019,2019,0.6818181818181818,24.4,7.320912295510305,,86.22875252088735,96.26202292362092,12.04545454545454,0.0,0.0,,,,,,,
Dadra and Nagar Haveli,2018,2018,1.2,16.2,7.32,,73.7,97.2,,,,,,,,,,
Dadra and Nagar Haveli,2020–21,2021,1.3,41.7,,,,,,,,0.0,2.307692307692307,0.5357142857142857,0.0,,,
Dadra and Nagar Haveli and Daman and Diu,2023–24,2024,1.3,55.7,,,,92.77,,,,0.0,5.789473684,0.53151101,,0.0,82.5,98.1
Daman and Diu,2019,2019,1.714285714285714,26.4,28.41212937622896,,49.8502994011976,93.61683059619564,13.71428571428571,0.8571428571428571,0.0,,,,,,,
Daman and Diu,2018,2018,1.2,34.4,28.41,,78.8,96.6,,,,,,,,,,
Daman and Diu,2020–21,2021,1.4,47.3,,,,,,,,0.0,18.88888888888889,0.9523809523809524,2.380952380952381,,,
Delhi,2019,2019,2.203619909502263,140.2,19.70740150135012,,113.8190954773869,116.2689359046549,60.57918552036199,2.217194570135747,0.0407239819004524,,,,,,,
Delhi,2020–21,2021,2.6,139.0,,,,,,,,30.49147442326981,113.4821428571429,4.307923771313941,0.9027081243731192,,,
Delhi,2018,2018,2.5,146.0,19.71,8.0,100.0,100.0,,,,,,,,,,
Delhi,2023–24,2024,2.4,134.9,,,,107.61,,,,32.56541524,111.0108303,4.386696313,,0.521425863,30.2,94.4
Goa,2018,2018,1.5,44.2,36.28,3.96,87.1,100.0,,,,,,,,,,
Goa,2023–24,2024,2.8,48.2,,,,103.9,,,,0.63734863,6.842105263,3.166561115,,0.0,75.9,100.0
Goa,2019,2019,1.519607843137255,37.7,36.27509435406684,,84.39098683953607,100.6901912552762,25.09803921568628,3.676470588235294,0.196078431372549,,,,,,,
Goa,2020–21,2021,2.1,32.1,,,,,,,,58.44155844155843,5.961538461538462,3.246753246753247,5.844155844155844,,,
Gujarat,2020–21,2021,1.5,22.7,,,,,,,,0.3223443223443224,6.958413926499032,2.282783882783883,3.736263736263736,,,
Gujarat,2018,2018,1.8,17.6,17.84,1677.24,98.7,95.5,,,,,,,,,,
Gujarat,2023–24,2024,1.4,23.7,,,,92.6,,,,0.169171342,8.87667304,2.460803511,,2.481179688,89.8,97.5
Gujarat,2019,2019,1.521091422298886,19.1,17.83699249828074,,98.76022236805572,94.99989359880044,16.47953583189587,0.0297945742512153,0.2320840520620981,,,,,,,
Haryana,2020–21,2021,3.9,55.2,,,,,,,,0.6942034015966678,30.33405172413793,2.974661575841721,3.089205137105171,,,
Haryana,2023–24,2024,3.4,67.3,,,,101.56,,,,0.667400808,28.94736842,2.817132902,,8.209029933,43.3,95.1
Haryana,2018,2018,3.8,33.4,24.44,21.08,100.0,100.0,,,,,,,,,,
Haryana,2019,2019,3.735714285714286,44.9,24.44464766432306,,99.85636004814825,102.7942150624443,46.57142857142857,0.0821428571428571,0.2928571428571429,,,,,,,
Himachal Pradesh,2019,2019,1.380753138075314,24.4,24.9367126345435,,89.24367533380183,101.5004559845569,21.84100418410042,0.2092050209205021,0.404463040446304,,,,,,,
Himachal Pradesh,2018,2018,1.4,21.6,24.94,10.19,100.0,100.0,,,,,,,,,,
Himachal Pradesh,2020–21,2021,1.0,34.6,,,,,,,,2.322404371584699,18.19444444444444,2.568306010928961,8.469945355191257,,,
Himachal Pradesh,2023–24,2024,1.1,34.4,,,,104.98,,,,1.746607551,17.25581395,2.61682243,,8.195620046,82.9,97.9
India,2023–24,2024,2.1,36.6,,,,95.47,,,,4.374705563,18.7661826,1.908521668,,2.999818808,71.3,89.1
India,2019,2019,2.223696770738749,28.9,12.83,,86.0,88.8,33.12495634560313,0.4577309026565156,0.3152429512700519,,,,,,,
India,2020–21,2021,2.2,33.2,,,,,,,,4.946135271117889,16.40601166442351,1.847324706005487,3.172075567616869,,,
India,2018,2018,2.4,24.0,12.83,34.01,88.3,89.5,,,,,,,,,,
Jammu and Kashmir,2019,2019,1.207307386814932,8.0,9.523153060772149,,77.64898885362526,76.61800563955946,30.09531374106433,0.0079428117553613,0.6671961874503574,,,,,,,
Jammu and Kashmir,2020–21,2021,0.9,10.5,,,,,,,,0.0,6.155555555555556,2.269031781226903,6.06060606060606,,,
Jammu and Kashmir,2023–24,2024,0.7,18.7,,,,87.36,,,,0.8125277,6.883910387,2.445095168,,9.45486778,77.1,95.3
Jammu and Kashmir,2018,2018,1.1,4.9,9.52,75.51,76.3,73.1,,,,,,,,,,
Jharkhand,2019,2019,4.346682256650102,9.5,14.81206954927949,,90.1738688962122,90.85973711428232,29.11721718795674,1.265711780181233,0.4969307220111078,,,,,,,
Jharkhand,2018,2018,4.5,5.5,14.81,87.4,88.3,93.5,,,,,,,,,,
Jharkhand,2023–24,2024,4.0,13.9,,,,91.74,,,,4.292832503,2.940751445,1.806016702,,1.712022486,58.2,73.5
Jharkhand,2020–21,2021,4.3,12.7,,,,,,,,6.359765832889835,2.707224334600761,1.868014901543374,2.048962213943587,,,
Karnataka,2023–24,2024,2.1,41.3,,,,97.53,,,,0.964262932,5.736434109,2.115132693,,5.770742779,78.3,97.5
Karnataka,2018,2018,2.5,22.7,12.2,7.01,94.9,92.9,,,,,,,,,,
Karnataka,2020–21,2021,2.0,32.2,,,,,,,,2.819463392451114,4.262378764675855,2.132787630741246,5.745035622252539,,,
Karnataka,2019,2019,2.193691551751466,30.1,12.20247938449772,,100.5504010635699,92.3561043072668,29.56886986844191,0.3772388651133302,0.4580757647804723,,,,,,,
Kerala,2023–24,2024,0.9,60.0,,,,105.57,,,,4.792600897,19.12858661,1.820970441,,4.988789238,96.0,99.0
Kerala,2018,2018,0.9,30.8,12.0,65.53,98.1,100.0,,,,,,,,,,
Kerala,2020–21,2021,0.9,50.9,,,,,,,,6.194941744813868,23.37259100642398,1.656720659278204,2.61437908496732,,,
Kerala,2019,2019,0.8486366165831942,38.1,11.99671137628515,,97.09246137171968,101.7833559665769,37.04785754034502,0.228158041179744,0.3951029493600445,,,,,,,
Ladakh,2020–21,2021,0.9,10.5,,,,,,,,0.0,6.155555555555556,2.269031781226903,6.06060606060606,,,
Ladakh,2023–24,2024,1.7,9.4,,,,81.9,,,,0.0,0.0,5.647840532,,0.0,82.4,98.6
Lakshadweep,2018,2018,0.0,25.0,,,69.6,98.6,,,,,,,,,,
Lakshadweep,2023–24,2024,0.0,55.3,,,,109.3,,,,0.0,0.0,5.797101449,,28.98550725,73.5,100.0
Lakshadweep,2020–21,2021,0.0,144.4,,,,,,,,0.0,0.0,4.285714285714286,0.0,,,
Lakshadweep,2019,2019,0.0,22.2,,,54.45161290322581,96.62195865432578,10.0,0.0,0.0,,,,,,,
Madhya Pradesh,2019,2019,2.405143073238372,63.3,7.571594335393314,,74.62469472319788,88.52397882395985,35.23635446867516,0.2256397327618808,0.3706038068826422,,,,,,,
Madhya Pradesh,2023–24,2024,2.3,71.0,,,,92.01,,,,1.839540813,39.47148818,2.38701537,,3.422943032,86.6,94.1
Madhya Pradesh,2018,2018,2.6,45.7,7.57,111.31,77.3,90.1,,,,,,,,,,
Madhya Pradesh,2020–21,2021,2.2,63.3,,,,,,,,2.602590485413388,36.64228723404255,2.510591938022031,3.849412904006779,,,
Maharashtra,2019,2019,1.723911796048856,44.7,20.22093019958699,,93.98176865822312,92.39823903836336,32.79777030904172,0.5451266497253873,0.7582588736781702,,,,,,,
Maharashtra,2020–21,2021,1.7,51.8,,,,,,,,8.047008895780625,12.05284015852047,1.863217171304987,7.271688566065454,,,
Maharashtra,2023–24,2024,1.8,57.5,,,,95.14,,,,6.402303239,8.499030739,1.799076831,,5.956925622,75.3,96.3
Maharashtra,2018,2018,1.9,38.5,20.22,129.0,100.0,93.1,,,,,,,,,,
Manipur,2019,2019,2.395437262357414,11.3,6.94202733960904,,,80.9301899955426,31.71102661596958,1.026615969581749,0.0380228136882129,,,,,,,
Manipur,2020–21,2021,1.8,15.4,,,,,,,,60.77170418006431,11.66666666666667,1.929260450160772,1.929260450160772,,,
Manipur,2018,2018,3.0,14.0,6.94,0.0,100.0,80.7,,,,,,,,,,
Manipur,2023–24,2024,1.5,11.6,,,,82.54,,,,0.0,5.825242718,1.976528721,,3.748828491,10.4,87.4
Meghalaya,2020–21,2021,2.1,37.8,,,,,,,,9.597523219814242,10.4,3.126934984520124,1.547987616099071,,,
Meghalaya,2018,2018,3.9,24.0,5.57,0.0,100.0,21.4,,,,,,,,,,
Meghalaya,2019,2019,3.096085409252669,37.8,5.567987037004483,,,28.20259825686565,25.44483985765125,0.1067615658362989,0.0355871886120996,,,,,,,
Meghalaya,2023–24,2024,2.2,35.9,,,,77.69,,,,0.60132291,1.811594203,3.061831153,,2.104630186,26.9,82.1
Mizoram,2019,2019,1.944444444444444,59.3,13.10508735530961,,136.0239434064937,87.37945266231036,13.24074074074074,5.74074074074074,0.4629629629629629,,,,,,,
Mizoram,2018,2018,2.7,50.8,13.11,15.25,100.0,81.2,,,,,,,,,,
Mizoram,2020–21,2021,1.8,33.7,,,,,,,,45.0,0.0,5.333333333333333,1.666666666666667,,,
Mizoram,2023–24,2024,2.5,32.0,,,,98.07,,,,0.0,0.238095238,5.948553055,,8.130081301,58.0,99.4
Nagaland,2018,2018,1.5,11.6,,80.87,100.0,56.5,,,,,,,,,,
Nagaland,2023–24,2024,0.9,4.3,,,,62.29,,,,0.0,5.0,1.515827017,,0.0,58.0,73.2
Nagaland,2019,2019,1.493775933609959,13.9,,,218.2144352089936,56.17077895678152,9.004149377593361,0.0,0.4979253112033195,,,,,,,
Nagaland,2020–21,2021,1.2,8.8,,,,,,,,9.259259259259258,5.522388059701492,1.527777777777778,0.4629629629629629,,,
Odisha,2018,2018,3.1,23.4,11.51,2489.83,96.1,93.2,,,,,,,,,,
Odisha,2019,2019,2.952003727865797,22.7,11.5084845340797,,97.53038890221274,92.35652008289826,46.33038210624418,0.7036346691519105,1.150978564771668,,,,,,,
Odisha,2023–24,2024,3.0,57.2,,,,95.99,,,,24.30397327,33.01179736,2.256383757,,6.227893149,77.9,90.8
Odisha,2020–21,2021,3.1,49.9,,,,,,,,20.03201463526183,22.44301994301994,2.163274639835353,8.072261605305282,,,
Puducherry,2019,2019,1.420454545454545,16.3,,,170.7232623749679,92.03630348357922,11.64772727272727,0.1136363636363636,0.1136363636363636,,,,,,,
Puducherry,2023–24,2024,1.9,38.8,,,,94.67,,,,14.18877236,10.55555556,1.73965207,,2.467612585,91.3,99.3
Puducherry,2020–21,2021,1.9,10.8,,,,,,,,0.0,10.21276595744681,1.710526315789474,0.6578947368421052,,,
Puducherry,2018,2018,2.0,15.1,,37.12,100.0,94.4,,,,,,,,,,
Punjab,2019,2019,2.236931432450781,24.3,24.13228438758851,,106.5946517427228,100.8385605574016,18.79837067209776,0.0339443312966734,0.5668703326544466,,,,,,,
Punjab,2023–24,2024,2.2,28.5,,,,102.68,,,,0.849673203,12.73455378,2.859458583,,7.418300654,66.4,97.7
Punjab,2020–21,2021,2.3,29.9,,,,,,,,0.6346025384101537,10.19384264538198,2.538410153640615,5.644622578490315,,,
Punjab,2018,2018,2.6,21.0,24.13,38.18,99.2,100.0,,,,,,,,,,
Rajasthan,2020–21,2021,2.1,25.9,,,,,,,,8.556701030927835,12.80658724597057,1.904639175257732,5.463917525773195,,,
Rajasthan,2023–24,2024,2.3,33.3,,,,94.61,,,,5.730694645,22.01137171,2.07030196,,6.35224504,49.8,91.4
Rajasthan,2018,2018,2.1,14.1,17.68,131.14,98.7,86.5,,,,,,,,,,
Rajasthan,2019,2019,1.983838383838384,18.2,17.68332110123909,,101.437599650007,85.77014385571619,21.99057239057239,1.212121212121212,0.5441077441077441,,,,,,,
Sikkim,2018,2018,2.6,55.0,25.25,1.87,72.2,88.1,,,,,,,,,,
Sikkim,2023–24,2024,1.3,77.2,,,,84.43,,,,1.461988304,7.619047619,5.49132948,,2.923976608,55.5,96.5
Sikkim,2019,2019,1.96969696969697,93.6,25.24738359797563,,66.20254339552585,84.91628728950627,26.81818181818182,0.7575757575757576,0.0,,,,,,,
Sikkim,2020–21,2021,2.6,80.3,,,,,,,,2.985074626865671,19.0,4.17910447761194,0.0,,,
Tamil Nadu,2018,2018,2.3,14.1,9.53,2492.45,100.0,93.4,,,,,,,,,,
Tamil Nadu,2023–24,2024,2.2,31.8,,,,97.94,,,,0.065183099,33.92545983,1.853415246,,3.402557785,70.7,98.3
Tamil Nadu,2019,2019,2.233676975945017,17.5,9.525641190973316,,101.8813352896612,92.9604454871197,14.83104238258877,0.2777777777777778,0.3679839633447881,,,,,,,
Tamil Nadu,2020–21,2021,2.3,20.5,,,,,,,,1.015697137580794,22.37128712871287,1.713494261970716,5.513784461152882,,,
Target,2018,2018,1.2,0.0,33.76,17.0,100.0,100.0,,,,,,,,,,
Target,2023–24,2024,1.44,0.0,,,,100.0,,,,0.0,0.0,4.25,,0.3,100.0,100.0
Target,2019,2019,1.1,0.0,33.76,,100.0,100.0,0.0,0.0,0.157621475635026,,,,,,,
Target,2020–21,2021,1.0,0.0,,,,,,,,0.0,0.0,4.25,0.19,,,
Telangana,2023–24,2024,2.5,49.7,,,,103.55,,,,18.54925829,30.25483304,1.576700453,,2.819276474,79.1,90.0
Telangana,2018,2018,2.8,26.0,8.31,,94.6,100.0,,,,,,,,,,
Telangana,2020–21,2021,2.3,37.7,,,,,,,,8.959227467811159,29.61504028648165,1.172210300429185,4.747854077253218,,,
Telangana,2019,2019,2.168058173983302,32.1,8.314285714285715,,97.34073723123726,100.1563681378278,20.55750067330999,1.179639105844331,0.1481281982224616,,,,,,,
Tripura,2023–24,2024,2.6,17.9,,,,93.6,,,,0.0,10.24390244,3.31332533,,0.0,73.1,93.8
Tripura,2018,2018,3.8,22.1,20.3,0.26,93.0,90.0,,,,,,,,,,
Tripura,2019,2019,3.195876288659794,22.3,20.30183888720688,,82.37150243309003,88.5777108877607,40.95360824742269,0.4896907216494846,0.0257731958762886,,,,,,,
Tripura,2020–21,2021,3.6,25.1,,,,,,,,0.5,13.62903225806452,3.1,1.5,,,
Uttar Pradesh,2019,2019,1.942410493688514,21.6,9.7095407655363,,60.74063963794263,86.40605222111294,28.95197879699924,0.0296482637797044,0.0260545348367099,,,,,,,
Uttar Pradesh,2018,2018,2.2,18.2,9.71,27.59,67.4,87.2,,,,,,,,,,
Uttar Pradesh,2020–21,2021,1.7,21.4,,,,,,,,0.6062751692702572,3.59449085572364,1.582510952781343,0.5929990706730982,,,
Uttar Pradesh,2023–24,2024,1.5,21.9,,,,94.42,,,,0.602322144,3.977499121,1.627285074,,0.380189155,76.1,79.5
Uttarakhand,2019,2019,1.675925925925926,21.5,19.62911082333923,,127.6108960832327,98.68092877866349,25.37037037037037,0.3611111111111111,0.1203703703703704,,,,,,,
Uttarakhand,2018,2018,1.8,17.6,19.63,66.12,100.0,98.8,,,,,,,,,,
Uttarakhand,2020–21,2021,1.8,31.5,,,,,,,,3.220035778175313,14.0,2.728085867620751,1.162790697674419,,,
Uttarakhand,2023–24,2024,1.6,44.9,,,,101.17,,,,2.595829367,17.10526316,2.639671963,,1.644025266,71.5,91.9
West Bengal,2023–24,2024,1.7,29.8,,,,99.83,,,,0.941638654,41.51666667,1.092962169,,0.25312867,90.6,98.2
West Bengal,2020–21,2021,2.0,21.4,,,,,,,,2.697971372670168,27.93667007150153,1.118319431572444,0.0926784059314179,,,
West Bengal,2019,2019,2.115221987315011,22.3,7.254397754212498,,97.94399198303591,92.82982857478083,51.38372093023256,0.412262156448203,0.0158562367864693,,,,,,,
West Bengal,2018,2018,2.2,23.8,7.25,0.75,92.8,93.9,,,,,,,,,,
