STATEs/UTs,year,yearFormatted,Population living below National Poverty line (%),Percentage of households with any usual member covered by a health scheme or health insurance,Persons offered employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Percentage of the population (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matru Vandana Yojana (PMMVY),"Number of homeless households per 10,000 households",Percentage of households living in katcha houses (rural + urban),Head count ratio as per the Multidimensional Poverty Index (%),Percentage of households living in katcha houses,Percentage of households living in Kachha houses
Odisha,2023–24,2024,,47.9,99.92,,,,15.68,,11.3
Odisha,2020–21,2021,32.59,47.7,85.5074038946671,,,,35.9,14.2,
Puducherry,2019,2019,9.69,32.8,84.45013749500554,21.4,,2.2,,,
Puducherry,2023–24,2024,,30.1,100.0,3.43,,,0.85,,
Puducherry,2020–21,2021,9.69,32.8,84.75669721883482,96.01,,,3.4,2.2,
Puducherry,2018,2018,9.69,32.8,83.78,21.4,3.97,,,,
Punjab,2019,2019,8.26,21.2,76.12467676394533,19.1,,0.5,,,
Punjab,2023–24,2024,,25.2,99.92,117.84,,,4.75,,1.1
Punjab,2020–21,2021,8.26,21.2,77.65969545821079,96.46,,,6.1,0.5,
Punjab,2018,2018,8.26,21.2,81.63,19.1,6.59,,,,
Rajasthan,2020–21,2021,14.71,18.7,84.24338687221267,98.15,,,32.0,2.8,
Rajasthan,2023–24,2024,,87.8,99.95,46.08,,,15.31,,3.5
Rajasthan,2018,2018,14.71,18.7,85.07,56.1,16.51,,,,
Rajasthan,2019,2019,14.71,18.7,83.15598320183449,56.10000000000001,,2.8,,,
Sikkim,2018,2018,8.19,30.3,94.16,29.4,11.75,,,,
Sikkim,2023–24,2024,,28.0,99.98,9.19,,,2.6,,1.5
Sikkim,2019,2019,8.19,30.3,93.0692558637319,29.4,,0.6,,,
Sikkim,2020–21,2021,8.19,30.3,91.29617610471092,92.17,,,4.9,0.6,
Tamil Nadu,2018,2018,11.28,64.1,98.83,29.5,4.56,,,,
Tamil Nadu,2023–24,2024,,66.5,99.99,197.65,,,2.2,,2.1
Tamil Nadu,2019,2019,11.28,64.0,94.06804695552206,29.5,,2.4,,,
Tamil Nadu,2020–21,2021,11.28,64.0,94.44132977271047,88.42,,,7.3,2.4,
Target,2018,2018,10.95,100.0,100.0,100.0,0.0,,,,
Target,2023–24,2024,,100.0,100.0,100.0,,,12.425,,0.0
Target,2019,2019,10.95,100.0,100.0,100.0,,0.0,,,
Target,2020–21,2021,10.96,100.0,98.95,100.0,,,13.95,0.0,
Telangana,2023–24,2024,,69.2,99.96,,,,5.88,,1.3
Telangana,2018,2018,,66.4,77.06,12.2,8.92,,,,
Telangana,2020–21,2021,,66.4,81.38131102815909,,,,17.5,1.5,
Telangana,2019,2019,,66.4,84.39915134893353,12.2,,1.5,,,
Tripura,2023–24,2024,,36.4,99.99,43.03,,,13.11,,6.4
Tripura,2018,2018,14.05,58.1,94.38,32.6,5.34,,,,
Tripura,2019,2019,14.05,58.09999999999999,95.67613521669142,32.6,,2.6,,,
Tripura,2020–21,2021,14.05,58.09999999999999,96.38300879300492,86.58,,,20.3,2.6,
Uttar Pradesh,2019,2019,29.43,6.1,84.22946201408625,48.7,,6.4,,,
Uttar Pradesh,2018,2018,29.43,6.1,84.3,48.7,5.36,,,,
Uttar Pradesh,2020–21,2021,29.43,6.1,82.14847612853796,93.48,,,40.8,6.4,
Uttar Pradesh,2023–24,2024,,15.9,99.98,38.91,,,22.93,,5.7
Uttarakhand,2019,2019,11.26,19.5,90.3734490297509,49.4,,1.8,,,
Uttarakhand,2018,2018,11.26,19.5,90.1,49.4,8.88,,,,
Uttarakhand,2020–21,2021,11.26,19.5,90.0232384961276,89.02,,,17.3,1.8,
Uttarakhand,2023–24,2024,,62.5,99.88,68.49,,,9.67,,4.2
West Bengal,2023–24,2024,,33.7,99.59,0.0,,,11.89,,4.3
West Bengal,2020–21,2021,19.98,33.4,87.5947866334826,71.57,,,26.3,6.0,
West Bengal,2019,2019,19.98,33.4,88.37009843480308,28.7,,6.0,,,
West Bengal,2018,2018,19.98,33.4,87.63,28.7,8.28,,,,
