STATEs/UTs,year,yearFormatted,"Ratio of rural households covered under public distribution system to rural households where monthly income of highest earning member is less than Rs.5,000",Percentage of children under five years who are stunted,Percentage of pregnant women aged 15-49 years who are anaemic,"Rice, wheat and coarse cereals produced annually per unit area (Kg/Ha)",Percentage of children aged 6-59 months who are anaemic (Hb<11.0 g/dl),Percentage children aged 0–4 years who are underweight,Gross Value Added (constant prices) in agriculture per worker (in Lakhs/worker),"Percentage of beneficiaries covered under National Food Security Act (NFSA), 2013",Percentage of children under five years who are underweight,Percentage of adolescents aged 10–19 years who are anaemic,Rice and Wheat produced per unit area (three-year average) (Kg/Ha),Percentage of women (aged 15-49 years) whose Body Mass Index is below 18.5
Goa,2018,2018,1.06,20.1,26.7,2783.18,,,,,,,,
Goa,2023–24,2024,,25.8,41.0,,,,5.0,100.0,,,2688.76,13.8
Goa,2019,2019,1.055472263868066,19.6,26.7,,22.1,20.3,3.70483876518567,,,,,
Goa,2020–21,2021,,19.6,26.7,,,,4.208059561526463,99.94,20.3,13.6,2716.68,
Gujarat,2020–21,2021,,39.1,51.3,,,,1.045593023422611,100.0,34.2,33.4,2640.1,
Gujarat,2018,2018,1.09,38.5,51.3,2377.52,,,,,,,,
Gujarat,2023–24,2024,,39.0,62.5,,,,1.33,91.84,,,2794.96,25.2
Gujarat,2019,2019,1.0869375273045,39.1,51.3,2314.333333333333,38.2,34.2,1.031308754068861,,,,,
Haryana,2020–21,2021,,34.9,55.0,,,,1.986093737093535,99.92,28.8,29.9,4272.42,
Haryana,2023–24,2024,,27.5,56.4,,,,2.17,100.0,,,4240.36,15.1
Haryana,2018,2018,0.93,34.0,55.0,3821.83,,,,,,,,
Haryana,2019,2019,0.9262211668928086,34.9,55.0,3222.333333333333,48.3,28.8,1.741775494433184,,,,,
Himachal Pradesh,2019,2019,1.050439006164767,28.4,50.2,2300.5,29.7,22.6,0.6074778999585754,,,,,
Himachal Pradesh,2018,2018,1.05,26.3,50.2,2064.31,,,,,,,,
Himachal Pradesh,2020–21,2021,,28.4,50.4,,,,0.6017742033014923,100.0,22.6,16.2,1738.76,
Himachal Pradesh,2023–24,2024,,30.8,42.2,,,,0.76,77.8,,,1861.49,13.9
India,2023–24,2024,,35.5,52.2,,,,0.86,99.01,,,3052.25,18.7
India,2019,2019,1.01,34.7,50.3,2516.67,40.5,33.4,0.6807940365840608,,,,,
India,2020–21,2021,,34.7,50.4,,,,0.71,99.51,33.4,28.4,2995.21,
India,2018,2018,1.01,38.4,50.3,2509.22,,,,,,,,
Jammu and Kashmir,2019,2019,0.9423190984578884,15.5,38.1,1567.5,27.1,13.0,0.8441920089056403,,,,,
Jammu and Kashmir,2020–21,2021,,15.5,38.1,,,,0.8834464952127217,97.01,13.0,15.8,2339.65,
Jammu and Kashmir,2023–24,2024,,26.9,44.1,,,,1.0,99.61,,,2027.18,5.2
Jammu and Kashmir,2018,2018,0.94,27.4,38.1,1966.1,,,,,,,,
Jharkhand,2019,2019,1.128245270711024,36.2,62.6,2057.333333333333,43.7,42.9,0.3082622419609826,,,,,
Jharkhand,2018,2018,1.13,45.3,62.6,1773.77,,,,,,,,
Jharkhand,2023–24,2024,,39.6,56.8,,,,0.38,99.98,,,2086.15,26.2
Jharkhand,2020–21,2021,,36.2,62.6,,,,0.3128469628224079,77.8,42.9,34.0,1890.35,
Karnataka,2023–24,2024,,35.4,45.7,,,,0.94,100.0,,,2867.66,17.2
Karnataka,2018,2018,1.1,36.2,45.4,2157.83,,,,,,,,
Karnataka,2020–21,2021,,32.5,45.4,,,,0.644917367658935,99.79,32.0,17.2,2788.37,
Karnataka,2019,2019,1.100752750434279,32.5,45.4,1731.0,34.7,32.0,0.542898966864901,,,,,
Kerala,2023–24,2024,,23.4,31.4,,,,2.28,100.0,,,2882.2,10.1
Kerala,2018,2018,0.74,19.7,22.6,2788.79,,,,,,,,
Kerala,2020–21,2021,,20.5,22.6,,,,2.20121769579754,100.0,18.7,9.1,2920.12,
Kerala,2019,2019,0.743886925795053,20.5,22.6,,12.5,18.7,2.192791340939229,,,,,
Ladakh,2020–21,2021,,15.5,38.1,,,,0.8834464952127217,99.11,13.0,15.8,2339.65,
Ladakh,2023–24,2024,,30.5,78.1,,,,,99.99,,,1600.23,4.4
Lakshadweep,2018,2018,0.82,27.0,36.5,0.0,,,,,,,,
Lakshadweep,2023–24,2024,,32.0,20.9,,,,,99.72,,,,8.0
Lakshadweep,2020–21,2021,,,39.0,,,,,91.1,,,,
Lakshadweep,2019,2019,0.8186456400742115,,36.5,,,,,,,,,
Madhya Pradesh,2019,2019,0.959396334890406,39.5,54.6,2350.333333333333,53.5,38.7,0.691513377725328,,,,,
Madhya Pradesh,2023–24,2024,,35.7,52.8,,,,0.92,97.87,,,2946.62,23.0
Madhya Pradesh,2018,2018,0.96,42.0,54.6,2614.26,,,,,,,,
Madhya Pradesh,2020–21,2021,,39.5,54.6,,,,0.6883831912083412,100.0,38.7,21.2,2656.57,
Maharashtra,2019,2019,1.075838736960812,34.1,49.3,1682.666666666667,41.6,30.9,0.6815411222492932,,,,,
Maharashtra,2020–21,2021,,34.1,49.3,,,,0.6515940595125843,100.0,30.9,28.3,1967.9,
Maharashtra,2023–24,2024,,35.2,45.7,,,,,100.0,,,1954.84,20.8
Maharashtra,2018,2018,1.08,34.4,49.3,1069.6,,,,,,,,
Manipur,2019,2019,1.364560862865948,28.9,26.0,,10.0,13.0,0.3888749384932702,,,,,
Manipur,2020–21,2021,,28.9,25.2,,,,0.570907280509878,100.0,13.0,10.5,1727.59,
Manipur,2018,2018,1.36,28.9,26.0,1485.1,,,,,,,,
Manipur,2023–24,2024,,23.4,32.4,,,,,80.15,,,2584.66,7.2
Meghalaya,2020–21,2021,,40.4,49.5,,,,0.5486978366296846,98.04,30.0,31.8,1821.24,
Meghalaya,2018,2018,1.04,43.8,53.1,2668.92,,,,,,,,
Meghalaya,2019,2019,1.03941742383752,40.4,53.1,,32.9,30.0,0.5128556978755885,,,,,
Meghalaya,2023–24,2024,,46.5,45.0,,,,0.64,100.0,,,2738.04,10.8
Mizoram,2019,2019,1.063100493378343,27.4,24.5,,24.4,11.3,1.293471364635131,,,,,
Mizoram,2018,2018,1.06,28.0,24.5,1640.22,,,,,,,,
Mizoram,2020–21,2021,,27.4,26.6,,,,1.143235691712587,99.98,11.3,17.9,1688.05,
Mizoram,2023–24,2024,,28.9,34.0,,,,,96.67,,,1737.4,5.3
Nagaland,2018,2018,1.14,28.6,28.9,1634.46,,,,,,,,
Nagaland,2023–24,2024,,32.7,22.2,,,,0.68,94.99,,,1583.3,11.1
Nagaland,2019,2019,1.14336866227442,26.2,28.9,,8.0,16.3,0.7108882836327797,,,,,
Nagaland,2020–21,2021,,26.2,28.9,,,,0.7402030860051416,94.65,16.3,8.4,1665.91,
Odisha,2018,2018,0.93,34.1,47.6,1485.15,,,,,,,,
Odisha,2019,2019,0.9343870821014328,29.1,47.6,1820.0,37.2,29.2,0.4495427080306612,,,,,
Odisha,2023–24,2024,,31.0,61.8,,,,0.6,99.93,,,2218.65,20.8
Odisha,2020–21,2021,,29.1,47.6,,,,0.4432691388831492,94.98,29.2,29.5,2003.84,
Puducherry,2019,2019,0.8583345318567525,,26.0,,,,1.022313330848553,,,,,
Puducherry,2023–24,2024,,20.0,42.5,,,,1.26,99.92,,,2998.02,9.0
Puducherry,2020–21,2021,,,27.8,,,,1.095845350302448,56.34,,,3546.34,
Puducherry,2018,2018,0.86,23.7,26.0,2693.25,,,,,,,,
Punjab,2019,2019,0.9518763029881862,24.3,42.0,4169.666666666667,39.8,19.7,2.402963236833447,,,,,
Punjab,2023–24,2024,,24.5,51.7,,,,2.76,100.0,,,4491.8,12.7
Punjab,2020–21,2021,,24.3,42.0,,,,2.574976715049827,99.2,19.7,25.9,4693.24,
Punjab,2018,2018,0.95,25.7,42.0,4297.73,,,,,,,,
Rajasthan,2020–21,2021,,36.8,46.6,,,,0.8586237133062342,100.0,31.5,26.0,3423.23,
Rajasthan,2023–24,2024,,31.8,46.3,,,,1.09,98.52,,,3598.85,19.6
Rajasthan,2018,2018,0.94,39.1,46.6,2119.85,,,,,,,,
Rajasthan,2019,2019,0.9448851203501094,36.8,46.6,1437.666666666667,32.4,31.5,0.7728977729334655,,,,,
Sikkim,2018,2018,1.04,29.6,23.6,1507.87,,,,,,,,
Sikkim,2023–24,2024,,22.3,40.7,,,,1.01,93.78,,,1849.83,5.8
Sikkim,2019,2019,1.037676394026579,21.8,23.6,,33.0,11.0,0.7875346005724522,,,,,
Sikkim,2020–21,2021,,21.8,23.6,,,,0.9542436477757718,100.0,11.0,25.8,1842.55,
Tamil Nadu,2018,2018,0.8,27.1,44.4,3788.49,,,,,,,,
Tamil Nadu,2023–24,2024,,25.0,48.2,,,,1.05,99.84,,,3564.23,12.6
Tamil Nadu,2019,2019,0.8019230769230768,19.7,44.4,2598.0,27.3,23.5,0.7023329577568334,,,,,
Tamil Nadu,2020–21,2021,,19.7,44.3,,,,0.8690229307708683,93.3,23.5,16.4,3561.89,
Target,2018,2018,1.29,21.03,23.57,5018.44,,,,,,,,
Target,2023–24,2024,,23.7,25.2,,,,1.22,100.0,,,5322.08,7.76
Target,2019,2019,1.29,2.5,25.15,5033.34,14.0,0.9,1.361588073168122,,,,,
Target,2020–21,2021,,6.0,25.2,,,,1.22,100.0,1.9,14.2,5322.08,
Telangana,2023–24,2024,,33.1,53.2,,,,1.05,99.96,,,3392.62,18.8
Telangana,2018,2018,0.81,28.1,49.8,2879.65,,,,,,,,
Telangana,2020–21,2021,,29.3,49.8,,,,,97.98,30.8,32.1,3448.32,
Telangana,2019,2019,0.8096692787886837,29.3,49.8,2547.333333333333,37.8,30.8,,,,,,
Tripura,2023–24,2024,,32.3,61.5,,,,1.52,97.65,,,3080.7,16.2
Tripura,2018,2018,0.94,24.3,54.4,2921.1,,,,,,,,
Tripura,2019,2019,0.9361302442078898,31.9,54.4,,33.0,23.8,1.199441164471608,,,,,
Tripura,2020–21,2021,,31.9,54.4,,,,1.263291587446984,99.96,23.8,41.4,2943.91,
Uttar Pradesh,2019,2019,1.11070780399274,38.8,51.0,2430.333333333333,43.0,36.8,0.5284791737521274,,,,,
Uttar Pradesh,2018,2018,1.11,46.3,51.0,2404.86,,,,,,,,
Uttar Pradesh,2020–21,2021,,38.8,51.0,,,,0.5855062699388167,99.23,36.8,31.6,3158.46,
Uttar Pradesh,2023–24,2024,,39.7,45.9,,,,0.73,99.29,,,3234.68,19.0
Uttarakhand,2019,2019,1.029175208957578,29.9,46.5,2142.0,32.4,18.7,0.6853423157657013,,,,,
Uttarakhand,2018,2018,1.03,33.5,46.5,2185.58,,,,,,,,
Uttarakhand,2020–21,2021,,29.9,43.9,,,,0.7121288165259161,100.0,18.7,15.7,2691.48,
Uttarakhand,2023–24,2024,,27.0,46.4,,,,0.73,100.0,,,2857.33,13.9
West Bengal,2023–24,2024,,33.8,62.3,,,,1.02,100.0,,,2947.96,14.8
West Bengal,2020–21,2021,,25.3,53.6,,,,0.9561951137922046,100.0,30.9,45.5,2947.7,
West Bengal,2019,2019,0.9029950284952104,25.3,53.6,3279.666666666667,45.7,30.9,0.862843299121298,,,,,
West Bengal,2018,2018,0.9,32.5,53.6,2904.91,,,,,,,,
